                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.91777,                0.59985,                 1.0474,                0.96622,                0.94784,                0.97582,                 0.7804,                0.84336,                0.44855,                0.97393,             0.00084162,             0.00084162,             0.00084162
                     36,                0.89576,                0.58756,                 1.0463,                0.97564,                0.94512,                0.98066,                0.78588,                0.84289,                0.42674,                0.98266,             0.00082925,             0.00082925,             0.00082925
                     37,                0.90366,                0.59075,                 1.0483,                0.96938,                0.95006,                0.97954,                 0.7787,                0.85419,                0.43921,                0.97583,             0.00081688,             0.00081688,             0.00081688
                     38,                0.88695,                   0.57,                 1.0416,                0.95049,                0.95528,                0.98023,                 0.7828,                0.84985,                0.42373,                0.97915,              0.0008045,              0.0008045,              0.0008045
                     39,                0.89182,                0.57532,                 1.0421,                0.96148,                0.93998,                0.97642,                0.78741,                0.85439,                0.44512,                0.98141,             0.00079213,             0.00079213,             0.00079213
                     40,                0.88944,                0.57435,                 1.0445,                0.95226,                0.96068,                0.97859,                0.78321,                0.84409,                0.42816,                0.97593,             0.00077975,             0.00077975,             0.00077975
                     41,                 0.8847,                0.56467,                 1.0436,                0.97037,                0.94578,                0.97887,                0.79524,                0.82345,                0.41018,                0.96288,             0.00076738,             0.00076738,             0.00076738
                     42,                0.88248,                0.56918,                 1.0364,                0.95209,                0.95082,                0.97609,                0.79256,                0.84283,                 0.4209,                  0.972,               0.000755,               0.000755,               0.000755
                     43,                0.87766,                0.55627,                 1.0323,                0.94926,                0.93956,                0.97519,                0.78238,                0.85344,                0.44053,                0.97803,             0.00074263,             0.00074263,             0.00074263
                     44,                0.87705,                0.56275,                 1.0406,                0.95293,                0.95519,                0.97631,                0.79043,                0.83343,                0.41648,                0.97453,             0.00073025,             0.00073025,             0.00073025
                     45,                0.87234,                0.54864,                 1.0265,                0.94528,                 0.9565,                0.97744,                0.79473,                0.82327,                0.42011,                0.96173,             0.00071788,             0.00071788,             0.00071788
                     46,                0.87045,                 0.5498,                 1.0298,                0.96724,                  0.946,                0.98106,                0.79424,                0.83327,                0.41666,                0.97201,              0.0007055,              0.0007055,              0.0007055
                     47,                0.86433,                0.54158,                 1.0291,                  0.958,                0.95572,                 0.9819,                0.79069,                 0.8371,                0.41038,                0.97393,             0.00069313,             0.00069313,             0.00069313
                     48,                0.85712,                0.54199,                 1.0257,                0.98115,                0.95625,                0.97835,                0.78912,                0.84614,                0.41901,                  0.973,             0.00068075,             0.00068075,             0.00068075
                     49,                0.85447,                 0.5329,                 1.0206,                 0.9639,                0.96614,                0.98176,                0.79122,                 0.8537,                0.40772,                0.97347,             0.00066838,             0.00066838,             0.00066838
                     50,                0.85963,                0.53432,                 1.0233,                0.97312,                0.95946,                0.98079,                0.79404,                0.84397,                 0.4061,                0.97851,               0.000656,               0.000656,               0.000656
                     51,                  0.855,                 0.5315,                 1.0254,                0.96692,                0.94842,                0.97767,                0.79559,                0.82939,                0.40412,                0.97054,             0.00064362,             0.00064362,             0.00064362
                     52,                0.85273,                0.51923,                 1.0188,                0.97635,                0.95823,                0.98512,                0.79801,                0.83827,                0.39656,                0.96941,             0.00063125,             0.00063125,             0.00063125
                     53,                 0.8468,                0.51918,                 1.0156,                0.95659,                0.95771,                0.97025,                0.78272,                0.84317,                0.40143,                0.97514,             0.00061887,             0.00061887,             0.00061887
                     54,                0.84101,                0.51435,                   1.02,                0.96223,                0.97012,                 0.9809,                0.79029,                0.82753,                 0.3899,                0.97288,              0.0006065,              0.0006065,              0.0006065
                     55,                0.83314,                0.51807,                 1.0165,                0.96162,                0.95761,                 0.9743,                0.79157,                0.83684,                0.40672,                0.97043,             0.00059413,             0.00059413,             0.00059413
                     56,                0.83818,                0.50832,                 1.0102,                0.96163,                0.95955,                0.97927,                0.80192,                0.82736,                0.39355,                0.96373,             0.00058175,             0.00058175,             0.00058175
                     57,                0.83479,                 0.5159,                 1.0177,                0.95562,                0.97252,                0.97765,                0.79349,                0.82525,                0.39492,                0.96887,             0.00056938,             0.00056938,             0.00056938
                     58,                0.82759,                0.50544,                   1.01,                0.96629,                0.95769,                0.97723,                0.79305,                0.83134,                0.39689,                 0.9649,               0.000557,               0.000557,               0.000557
                     59,                0.83283,                0.50753,                 1.0089,                0.96535,                0.94591,                0.97973,                0.79809,                0.82299,                 0.3946,                0.96332,             0.00054463,             0.00054463,             0.00054463
                     60,                0.83413,                0.50564,                 1.0126,                0.95646,                0.95432,                0.97494,                 0.7918,                 0.8315,                0.39052,                0.96907,             0.00053225,             0.00053225,             0.00053225
                     61,                0.82099,                0.49792,                 1.0047,                0.97155,                0.95767,                0.97666,                0.80127,                0.83026,                0.38546,                0.95973,             0.00051988,             0.00051988,             0.00051988
                     62,                0.81885,                0.49568,                 1.0035,                 0.9807,                0.96126,                0.97855,                0.80133,                0.82035,                0.38515,                0.96539,              0.0005075,              0.0005075,              0.0005075
                     63,                0.81644,                0.48678,                 1.0043,                0.96889,                0.96459,                0.97985,                0.81002,                0.80999,                 0.3784,                 0.9554,             0.00049513,             0.00049513,             0.00049513
                     64,                 0.8148,                0.48944,                 1.0038,                0.97445,                  0.949,                0.98001,                0.80652,                0.80531,                0.37801,                0.95577,             0.00048275,             0.00048275,             0.00048275
                     65,                0.81017,                0.47732,                 1.0032,                0.97819,                0.96051,                0.98213,                0.80468,                0.81547,                0.37894,                0.95679,             0.00047038,             0.00047038,             0.00047038
                     66,                0.80432,                0.48022,                0.99737,                0.97274,                0.95509,                0.98002,                0.80621,                 0.8078,                0.36961,                  0.959,               0.000458,               0.000458,               0.000458
                     67,                0.80317,                0.48248,                 1.0014,                0.96534,                0.96678,                0.97616,                0.79452,                0.81878,                0.38128,                0.96013,             0.00044563,             0.00044563,             0.00044563
                     68,                0.80421,                0.47857,                0.99664,                 0.9557,                0.96409,                0.97845,                0.79899,                0.80959,                0.37718,                0.95564,             0.00043325,             0.00043325,             0.00043325
                     69,                0.80177,                0.47685,                0.99648,                0.95478,                0.96855,                0.98075,                0.79991,                0.80991,                0.37008,                0.96027,             0.00042087,             0.00042087,             0.00042087
                     70,                0.79717,                0.46488,                0.99462,                0.96902,                0.95079,                 0.9781,                0.80131,                0.82382,                0.37542,                0.95997,              0.0004085,              0.0004085,              0.0004085
                     71,                0.78702,                0.46783,                0.99338,                0.95887,                0.97663,                0.98266,                0.80797,                0.81401,                0.37082,                0.95928,             0.00039613,             0.00039613,             0.00039613
                     72,                  0.781,                0.46439,                0.99093,                0.96746,                0.96594,                0.97973,                0.80764,                0.81655,                0.36643,                0.96131,             0.00038375,             0.00038375,             0.00038375
                     73,                0.79349,                0.46111,                0.99312,                0.97276,                0.96145,                0.97983,                0.80015,                0.82342,                0.38091,                0.96713,             0.00037138,             0.00037138,             0.00037138
                     74,                 0.7843,                0.46039,                0.99409,                0.97018,                0.95939,                0.97996,                0.80802,                0.81513,                0.36834,                0.95937,               0.000359,               0.000359,               0.000359
                     75,                0.77819,                0.45895,                0.98663,                0.96267,                0.96275,                0.97888,                0.80609,                0.81229,                0.36993,                0.96157,             0.00034663,             0.00034663,             0.00034663
                     76,                0.77873,                0.45241,                0.99042,                0.95841,                0.97319,                0.97868,                0.80195,                0.82277,                0.37091,                0.96336,             0.00033425,             0.00033425,             0.00033425
                     77,                0.77049,                0.45043,                0.98579,                0.96777,                 0.9683,                0.97887,                 0.8037,                0.82417,                0.36983,                0.96215,             0.00032188,             0.00032188,             0.00032188
